player_id,full_name,position,birth_date,team_name,minutes_played,goals_per90,assists_per90,xg_per90,xa_per90,npxg_per90,market_value_eur,match_confidence,age,position_group,goals_per90_pctl,assists_per90_pctl,xg_per90_pctl,xa_per90_pctl,npxg_per90_pctl,composite_output_pctl,value_efficiency
3,Arnaud Kalimuendo Muinga,F M S,2002-01-20,Rennes,2630,0.582,0.103,0.615,0.099,0.407,22000000.0,0.95,24.5,Forward,93.81443298969072,41.23711340206185,84.5360824742268,22.68041237113402,68.04123711340206,62.06185567010309,2.8209934395501404
4,Jonathan Christian David,F S,2003-04-30,Lille,2535,0.568,0.178,0.691,0.167,0.502,12000000.0,0.855,23.2,Forward,91.75257731958763,63.91752577319587,90.72164948453609,50.51546391752577,83.50515463917526,76.08247422680412,6.34020618556701
5,Alexandre Lacazette,F S,1991-05-28,Lyon,2092,0.645,0.086,0.775,0.163,0.578,6000000.0,1.0,35.1,Forward,94.84536082474226,32.98969072164948,94.84536082474226,47.42268041237113,86.5979381443299,71.34020618556701,11.890034364261169
6,Bradley Barcola,F M S,2002-09-02,Paris Saint Germain,2223,0.567,0.405,0.621,0.402,0.621,70000000.0,1.0,23.9,Forward,90.72164948453609,97.9381443298969,85.56701030927834,93.81443298969072,89.69072164948454,91.5463917525773,1.30780559646539
7,Emanuel Emegha,F M,2003-02-03,Strasbourg,2331,0.541,0.116,0.68,0.077,0.68,25000000.0,0.966,23.4,Forward,86.5979381443299,46.391752577319586,89.69072164948454,13.402061855670103,92.78350515463917,65.77319587628867,2.630927835051547
8,Amine Gouiri,F M S,2000-02-16,"Marseille,Rennes",2122,0.551,0.212,0.453,0.193,0.453,30000000.0,1.0,26.4,Forward,88.65979381443299,72.16494845360825,71.1340206185567,62.88659793814433,76.28865979381443,74.22680412371133,2.474226804123711
9,Ludovic Ajorque,F S,1994-02-25,Brest,2533,0.462,0.071,0.447,0.109,0.42,4000000.0,1.0,32.4,Forward,81.95876288659794,25.773195876288657,69.0721649484536,30.412371134020617,73.19587628865979,56.082474226804116,14.020618556701029
10,Mika Biereth,F,2003-02-08,Monaco,1255,0.932,0.143,0.875,0.344,0.766,30000000.0,1.0,23.4,Forward,98.96907216494846,51.546391752577314,96.90721649484536,91.75257731958763,96.90721649484536,87.21649484536083,2.9072164948453607
11,Evann Guessand,F M S,2001-07-01,Nice,2609,0.414,0.276,0.338,0.214,0.338,25000000.0,1.0,25.0,Forward,76.28865979381443,81.44329896907216,55.670103092783506,68.04123711340206,55.670103092783506,67.42268041237114,2.6969072164948455
12,Lucas Stassin,F S,2004-11-29,Saint-Etienne,1916,0.564,0.188,0.395,0.181,0.395,18000000.0,1.0,21.6,Forward,89.69072164948454,65.97938144329896,60.824742268041234,58.76288659793815,64.94845360824742,68.04123711340205,3.7800687285223358
13,Gaetan Laborde,F S,1994-05-03,Nice,1845,0.537,0.195,0.611,0.249,0.462,6000000.0,1.0,32.2,Forward,85.56701030927834,69.58762886597938,83.50515463917526,78.35051546391753,77.31958762886599,78.8659793814433,13.144329896907216
14,Georges Mikautadze,F M S,2000-10-31,Lyon,1397,0.709,0.387,0.738,0.343,0.542,22000000.0,1.0,25.7,Forward,96.90721649484536,95.87628865979381,91.75257731958763,90.72164948453609,84.5360824742268,91.95876288659794,4.179943767572634
